Date,Dish TV,Infosys,Hindustan Unilever,Vodafone Idea,Cipla
28-03-2016,86,608,867,67,514
04-04-2016,86,607,863,65,519
11-04-2016,85,583,853,66,506
18-04-2016,87,625,900,69,515
25-04-2016,89,606,880,71,532
02-05-2016,90,605,867,71,537
09-05-2016,90,591,851,69,538
16-05-2016,96,605,833,69,534
23-05-2016,95,602,817,66,510
30-05-2016,87,621,864,68,477
06-06-2016,88,632,888,64,469
13-06-2016,91,588,867,62,475
20-06-2016,93,590,875,61,487
27-06-2016,93,586,858,61,475
04-07-2016,100,588,900,64,511
11-07-2016,98,584,927,63,525
18-07-2016,99,539,944,68,517
25-07-2016,98,532,900,64,514
01-08-2016,104,536,930,63,529
08-08-2016,99,534,927,64,534
15-08-2016,88,531,935,57,516
22-08-2016,94,509,912,57,557
29-08-2016,96,509,906,56,568
05-09-2016,95,516,921,51,578
12-09-2016,95,513,925,50,572
19-09-2016,100,523,915,51,595
26-09-2016,99,521,909,50,609
03-10-2016,94,518,878,48,585
10-10-2016,97,508,880,49,570
17-10-2016,93,517,844,45,589
24-10-2016,96,519,852,47,585
31-10-2016,96,499,836,46,575
07-11-2016,89,492,850,45,550
14-11-2016,87,461,802,42,548
21-11-2016,90,463,803,43,550
28-11-2016,88,490,830,44,569
05-12-2016,86,483,833,44,574
12-12-2016,89,491,845,46,576
19-12-2016,83,503,817,46,565
26-12-2016,84,494,788,43,581
02-01-2017,85,506,828,45,570
09-01-2017,86,486,838,44,584
16-01-2017,88,482,828,42,577
23-01-2017,85,472,855,43,574
30-01-2017,88,469,857,48,579
06-02-2017,88,469,850,67,610
13-02-2017,88,486,855,63,583
20-02-2017,88,498,851,67,593
27-02-2017,93,504,859,71,592
06-03-2017,96,510,877,67,592
13-03-2017,104,511,875,63,589
20-03-2017,106,513,901,66,598
27-03-2017,107,514,900,55,597
03-04-2017,108,516,914,52,595
10-04-2017,100,492,923,53,591
17-04-2017,101,465,923,52,580
24-04-2017,99,459,910,52,565
01-05-2017,95,459,935,52,557
08-05-2017,96,469,955,49,550
15-05-2017,99,482,981,55,567
22-05-2017,100,479,1011,53,567
29-05-2017,88,495,1041,49,492
05-06-2017,84,485,1092,48,531
12-06-2017,83,472,1096,48,549
19-06-2017,80,470,1094,47,537
26-06-2017,74,472,1098,48,541
03-07-2017,80,471,1093,51,559
10-07-2017,80,472,1102,51,560
17-07-2017,80,488,1140,54,549
24-07-2017,78,492,1162,55,564
31-07-2017,82,496,1160,57,568
07-08-2017,80,492,1173,56,566
14-08-2017,71,494,1154,52,560
21-08-2017,78,462,1202,54,567
28-08-2017,81,472,1181,54,576
04-09-2017,81,460,1215,53,574
11-09-2017,78,445,1206,48,555
18-09-2017,79,455,1250,49,563
25-09-2017,76,450,1240,48,582
02-10-2017,75,450,1174,47,586
09-10-2017,72,460,1218,45,585
16-10-2017,72,468,1250,48,595
23-10-2017,71,465,1266,55,613
30-10-2017,78,477,1260,56,623
06-11-2017,76,462,1239,64,637
13-11-2017,77,481,1295,60,610
20-11-2017,76,484,1280,57,606
27-11-2017,82,503,1261,57,617
04-12-2017,81,490,1257,56,599
11-12-2017,83,497,1329,58,612
18-12-2017,82,506,1320,57,578
25-12-2017,81,520,1356,61,601
01-01-2018,82,519,1367,65,608
08-01-2018,86,512,1349,66,618
15-01-2018,79,540,1376,66,612
22-01-2018,73,566,1363,62,604
29-01-2018,74,583,1370,57,625
05-02-2018,72,570,1352,52,576
12-02-2018,74,557,1340,51,629
19-02-2018,73,564,1359,50,612
